File,input_path,target_path
0000,VD_dataset2/0000_input.png,VD_dataset2/0000_target.png
0004,VD_dataset2/0004_input.png,VD_dataset2/0004_target.png
0008,VD_dataset2/0008_input.png,VD_dataset2/0008_target.png
0012,VD_dataset2/0012_input.png,VD_dataset2/0012_target.png
0016,VD_dataset2/0016_input.png,VD_dataset2/0016_target.png
0020,VD_dataset2/0020_input.png,VD_dataset2/0020_target.png
0024,VD_dataset2/0024_input.png,VD_dataset2/0024_target.png
0028,VD_dataset2/0028_input.png,VD_dataset2/0028_target.png
0032,VD_dataset2/0032_input.png,VD_dataset2/0032_target.png
0036,VD_dataset2/0036_input.png,VD_dataset2/0036_target.png
0040,VD_dataset2/0040_input.png,VD_dataset2/0040_target.png
0044,VD_dataset2/0044_input.png,VD_dataset2/0044_target.png
0048,VD_dataset2/0048_input.png,VD_dataset2/0048_target.png
0052,VD_dataset2/0052_input.png,VD_dataset2/0052_target.png
0056,VD_dataset2/0056_input.png,VD_dataset2/0056_target.png
0060,VD_dataset2/0060_input.png,VD_dataset2/0060_target.png
0064,VD_dataset2/0064_input.png,VD_dataset2/0064_target.png
0068,VD_dataset2/0068_input.png,VD_dataset2/0068_target.png
0072,VD_dataset2/0072_input.png,VD_dataset2/0072_target.png
0076,VD_dataset2/0076_input.png,VD_dataset2/0076_target.png
0080,VD_dataset2/0080_input.png,VD_dataset2/0080_target.png
0084,VD_dataset2/0084_input.png,VD_dataset2/0084_target.png
0088,VD_dataset2/0088_input.png,VD_dataset2/0088_target.png
0092,VD_dataset2/0092_input.png,VD_dataset2/0092_target.png
0096,VD_dataset2/0096_input.png,VD_dataset2/0096_target.png
0100,VD_dataset2/0100_input.png,VD_dataset2/0100_target.png
0104,VD_dataset2/0104_input.png,VD_dataset2/0104_target.png
0108,VD_dataset2/0108_input.png,VD_dataset2/0108_target.png
0112,VD_dataset2/0112_input.png,VD_dataset2/0112_target.png
0116,VD_dataset2/0116_input.png,VD_dataset2/0116_target.png
0120,VD_dataset2/0120_input.png,VD_dataset2/0120_target.png
0124,VD_dataset2/0124_input.png,VD_dataset2/0124_target.png
0128,VD_dataset2/0128_input.png,VD_dataset2/0128_target.png
0132,VD_dataset2/0132_input.png,VD_dataset2/0132_target.png
0136,VD_dataset2/0136_input.png,VD_dataset2/0136_target.png
0140,VD_dataset2/0140_input.png,VD_dataset2/0140_target.png
0144,VD_dataset2/0144_input.png,VD_dataset2/0144_target.png
0148,VD_dataset2/0148_input.png,VD_dataset2/0148_target.png
0152,VD_dataset2/0152_input.png,VD_dataset2/0152_target.png
0156,VD_dataset2/0156_input.png,VD_dataset2/0156_target.png
0160,VD_dataset2/0160_input.png,VD_dataset2/0160_target.png
0164,VD_dataset2/0164_input.png,VD_dataset2/0164_target.png
0168,VD_dataset2/0168_input.png,VD_dataset2/0168_target.png
0172,VD_dataset2/0172_input.png,VD_dataset2/0172_target.png
0176,VD_dataset2/0176_input.png,VD_dataset2/0176_target.png
0180,VD_dataset2/0180_input.png,VD_dataset2/0180_target.png
0184,VD_dataset2/0184_input.png,VD_dataset2/0184_target.png
0188,VD_dataset2/0188_input.png,VD_dataset2/0188_target.png
0192,VD_dataset2/0192_input.png,VD_dataset2/0192_target.png
0196,VD_dataset2/0196_input.png,VD_dataset2/0196_target.png
0200,VD_dataset2/0200_input.png,VD_dataset2/0200_target.png
0204,VD_dataset2/0204_input.png,VD_dataset2/0204_target.png
0208,VD_dataset2/0208_input.png,VD_dataset2/0208_target.png
0212,VD_dataset2/0212_input.png,VD_dataset2/0212_target.png
0216,VD_dataset2/0216_input.png,VD_dataset2/0216_target.png
0220,VD_dataset2/0220_input.png,VD_dataset2/0220_target.png
0224,VD_dataset2/0224_input.png,VD_dataset2/0224_target.png
0228,VD_dataset2/0228_input.png,VD_dataset2/0228_target.png
0232,VD_dataset2/0232_input.png,VD_dataset2/0232_target.png
0236,VD_dataset2/0236_input.png,VD_dataset2/0236_target.png
0240,VD_dataset2/0240_input.png,VD_dataset2/0240_target.png
0244,VD_dataset2/0244_input.png,VD_dataset2/0244_target.png
0248,VD_dataset2/0248_input.png,VD_dataset2/0248_target.png
0252,VD_dataset2/0252_input.png,VD_dataset2/0252_target.png
0256,VD_dataset2/0256_input.png,VD_dataset2/0256_target.png
0260,VD_dataset2/0260_input.png,VD_dataset2/0260_target.png
0264,VD_dataset2/0264_input.png,VD_dataset2/0264_target.png
0268,VD_dataset2/0268_input.png,VD_dataset2/0268_target.png
0272,VD_dataset2/0272_input.png,VD_dataset2/0272_target.png
0276,VD_dataset2/0276_input.png,VD_dataset2/0276_target.png
0280,VD_dataset2/0280_input.png,VD_dataset2/0280_target.png
0284,VD_dataset2/0284_input.png,VD_dataset2/0284_target.png
0288,VD_dataset2/0288_input.png,VD_dataset2/0288_target.png
0292,VD_dataset2/0292_input.png,VD_dataset2/0292_target.png
0296,VD_dataset2/0296_input.png,VD_dataset2/0296_target.png
0300,VD_dataset2/0300_input.png,VD_dataset2/0300_target.png
0304,VD_dataset2/0304_input.png,VD_dataset2/0304_target.png
0308,VD_dataset2/0308_input.png,VD_dataset2/0308_target.png
0312,VD_dataset2/0312_input.png,VD_dataset2/0312_target.png
0316,VD_dataset2/0316_input.png,VD_dataset2/0316_target.png
0320,VD_dataset2/0320_input.png,VD_dataset2/0320_target.png
0324,VD_dataset2/0324_input.png,VD_dataset2/0324_target.png
0328,VD_dataset2/0328_input.png,VD_dataset2/0328_target.png
0332,VD_dataset2/0332_input.png,VD_dataset2/0332_target.png
0336,VD_dataset2/0336_input.png,VD_dataset2/0336_target.png
0340,VD_dataset2/0340_input.png,VD_dataset2/0340_target.png
0344,VD_dataset2/0344_input.png,VD_dataset2/0344_target.png
0348,VD_dataset2/0348_input.png,VD_dataset2/0348_target.png
0352,VD_dataset2/0352_input.png,VD_dataset2/0352_target.png
0356,VD_dataset2/0356_input.png,VD_dataset2/0356_target.png
0360,VD_dataset2/0360_input.png,VD_dataset2/0360_target.png
0364,VD_dataset2/0364_input.png,VD_dataset2/0364_target.png
0368,VD_dataset2/0368_input.png,VD_dataset2/0368_target.png
0372,VD_dataset2/0372_input.png,VD_dataset2/0372_target.png
0376,VD_dataset2/0376_input.png,VD_dataset2/0376_target.png
0380,VD_dataset2/0380_input.png,VD_dataset2/0380_target.png
0384,VD_dataset2/0384_input.png,VD_dataset2/0384_target.png
0388,VD_dataset2/0388_input.png,VD_dataset2/0388_target.png
0392,VD_dataset2/0392_input.png,VD_dataset2/0392_target.png
0396,VD_dataset2/0396_input.png,VD_dataset2/0396_target.png
0400,VD_dataset2/0400_input.png,VD_dataset2/0400_target.png
0404,VD_dataset2/0404_input.png,VD_dataset2/0404_target.png
0408,VD_dataset2/0408_input.png,VD_dataset2/0408_target.png
0412,VD_dataset2/0412_input.png,VD_dataset2/0412_target.png
0416,VD_dataset2/0416_input.png,VD_dataset2/0416_target.png
0420,VD_dataset2/0420_input.png,VD_dataset2/0420_target.png
0424,VD_dataset2/0424_input.png,VD_dataset2/0424_target.png
0428,VD_dataset2/0428_input.png,VD_dataset2/0428_target.png
0432,VD_dataset2/0432_input.png,VD_dataset2/0432_target.png
0436,VD_dataset2/0436_input.png,VD_dataset2/0436_target.png
0440,VD_dataset2/0440_input.png,VD_dataset2/0440_target.png
0444,VD_dataset2/0444_input.png,VD_dataset2/0444_target.png
0448,VD_dataset2/0448_input.png,VD_dataset2/0448_target.png
0452,VD_dataset2/0452_input.png,VD_dataset2/0452_target.png
0456,VD_dataset2/0456_input.png,VD_dataset2/0456_target.png
0460,VD_dataset2/0460_input.png,VD_dataset2/0460_target.png
0464,VD_dataset2/0464_input.png,VD_dataset2/0464_target.png
0468,VD_dataset2/0468_input.png,VD_dataset2/0468_target.png
0472,VD_dataset2/0472_input.png,VD_dataset2/0472_target.png
0476,VD_dataset2/0476_input.png,VD_dataset2/0476_target.png
0480,VD_dataset2/0480_input.png,VD_dataset2/0480_target.png
0484,VD_dataset2/0484_input.png,VD_dataset2/0484_target.png
0488,VD_dataset2/0488_input.png,VD_dataset2/0488_target.png
0492,VD_dataset2/0492_input.png,VD_dataset2/0492_target.png
0496,VD_dataset2/0496_input.png,VD_dataset2/0496_target.png
0500,VD_dataset2/0500_input.png,VD_dataset2/0500_target.png
0504,VD_dataset2/0504_input.png,VD_dataset2/0504_target.png
0508,VD_dataset2/0508_input.png,VD_dataset2/0508_target.png
0512,VD_dataset2/0512_input.png,VD_dataset2/0512_target.png
0516,VD_dataset2/0516_input.png,VD_dataset2/0516_target.png
0520,VD_dataset2/0520_input.png,VD_dataset2/0520_target.png
0524,VD_dataset2/0524_input.png,VD_dataset2/0524_target.png
0528,VD_dataset2/0528_input.png,VD_dataset2/0528_target.png
0532,VD_dataset2/0532_input.png,VD_dataset2/0532_target.png
0536,VD_dataset2/0536_input.png,VD_dataset2/0536_target.png
0540,VD_dataset2/0540_input.png,VD_dataset2/0540_target.png
0544,VD_dataset2/0544_input.png,VD_dataset2/0544_target.png
0548,VD_dataset2/0548_input.png,VD_dataset2/0548_target.png
0552,VD_dataset2/0552_input.png,VD_dataset2/0552_target.png
0556,VD_dataset2/0556_input.png,VD_dataset2/0556_target.png
0560,VD_dataset2/0560_input.png,VD_dataset2/0560_target.png
0564,VD_dataset2/0564_input.png,VD_dataset2/0564_target.png
0568,VD_dataset2/0568_input.png,VD_dataset2/0568_target.png
0572,VD_dataset2/0572_input.png,VD_dataset2/0572_target.png
0576,VD_dataset2/0576_input.png,VD_dataset2/0576_target.png
0580,VD_dataset2/0580_input.png,VD_dataset2/0580_target.png
0584,VD_dataset2/0584_input.png,VD_dataset2/0584_target.png
0588,VD_dataset2/0588_input.png,VD_dataset2/0588_target.png
0592,VD_dataset2/0592_input.png,VD_dataset2/0592_target.png
0596,VD_dataset2/0596_input.png,VD_dataset2/0596_target.png
0600,VD_dataset2/0600_input.png,VD_dataset2/0600_target.png
0604,VD_dataset2/0604_input.png,VD_dataset2/0604_target.png
0608,VD_dataset2/0608_input.png,VD_dataset2/0608_target.png
0612,VD_dataset2/0612_input.png,VD_dataset2/0612_target.png
0616,VD_dataset2/0616_input.png,VD_dataset2/0616_target.png
0620,VD_dataset2/0620_input.png,VD_dataset2/0620_target.png
0624,VD_dataset2/0624_input.png,VD_dataset2/0624_target.png
0628,VD_dataset2/0628_input.png,VD_dataset2/0628_target.png
0632,VD_dataset2/0632_input.png,VD_dataset2/0632_target.png
0636,VD_dataset2/0636_input.png,VD_dataset2/0636_target.png
0640,VD_dataset2/0640_input.png,VD_dataset2/0640_target.png
0644,VD_dataset2/0644_input.png,VD_dataset2/0644_target.png
0648,VD_dataset2/0648_input.png,VD_dataset2/0648_target.png
0652,VD_dataset2/0652_input.png,VD_dataset2/0652_target.png
0656,VD_dataset2/0656_input.png,VD_dataset2/0656_target.png
0660,VD_dataset2/0660_input.png,VD_dataset2/0660_target.png
0664,VD_dataset2/0664_input.png,VD_dataset2/0664_target.png
0668,VD_dataset2/0668_input.png,VD_dataset2/0668_target.png
0672,VD_dataset2/0672_input.png,VD_dataset2/0672_target.png
0676,VD_dataset2/0676_input.png,VD_dataset2/0676_target.png
0680,VD_dataset2/0680_input.png,VD_dataset2/0680_target.png
0684,VD_dataset2/0684_input.png,VD_dataset2/0684_target.png
0688,VD_dataset2/0688_input.png,VD_dataset2/0688_target.png
0692,VD_dataset2/0692_input.png,VD_dataset2/0692_target.png
0696,VD_dataset2/0696_input.png,VD_dataset2/0696_target.png
0700,VD_dataset2/0700_input.png,VD_dataset2/0700_target.png
0704,VD_dataset2/0704_input.png,VD_dataset2/0704_target.png
0708,VD_dataset2/0708_input.png,VD_dataset2/0708_target.png
0712,VD_dataset2/0712_input.png,VD_dataset2/0712_target.png
0716,VD_dataset2/0716_input.png,VD_dataset2/0716_target.png
0720,VD_dataset2/0720_input.png,VD_dataset2/0720_target.png
0724,VD_dataset2/0724_input.png,VD_dataset2/0724_target.png
0728,VD_dataset2/0728_input.png,VD_dataset2/0728_target.png
0732,VD_dataset2/0732_input.png,VD_dataset2/0732_target.png
0736,VD_dataset2/0736_input.png,VD_dataset2/0736_target.png
0740,VD_dataset2/0740_input.png,VD_dataset2/0740_target.png
0744,VD_dataset2/0744_input.png,VD_dataset2/0744_target.png
0748,VD_dataset2/0748_input.png,VD_dataset2/0748_target.png
0752,VD_dataset2/0752_input.png,VD_dataset2/0752_target.png
0756,VD_dataset2/0756_input.png,VD_dataset2/0756_target.png
0760,VD_dataset2/0760_input.png,VD_dataset2/0760_target.png
0764,VD_dataset2/0764_input.png,VD_dataset2/0764_target.png
0768,VD_dataset2/0768_input.png,VD_dataset2/0768_target.png
0772,VD_dataset2/0772_input.png,VD_dataset2/0772_target.png
0776,VD_dataset2/0776_input.png,VD_dataset2/0776_target.png
0780,VD_dataset2/0780_input.png,VD_dataset2/0780_target.png
0784,VD_dataset2/0784_input.png,VD_dataset2/0784_target.png
0788,VD_dataset2/0788_input.png,VD_dataset2/0788_target.png
